FBgn0000097	FBgn0000286	FBgn0000289	FBgn0000307	FBgn0000370	FBgn0000412	FBgn0000459	FBgn0000504	FBgn0000520	FBgn0000541	FBgn0000546	FBgn0000567	FBgn0000575	FBgn0000611	FBgn0000629	FBgn0000659	FBgn0000964	FBgn0001078	FBgn0001133	FBgn0001168	FBgn0001180	FBgn0001185	FBgn0001222	FBgn0001291	FBgn0001297	FBgn0001978	FBgn0001990	FBgn0001994	FBgn0002521	FBgn0002609	FBgn0002723	FBgn0002733	FBgn0002781	FBgn0002914	FBgn0003028	FBgn0003053	FBgn0003118	FBgn0003345	FBgn0003396	FBgn0003459	FBgn0003460	FBgn0003507	FBgn0003512	FBgn0003567	FBgn0003598	FBgn0003612	FBgn0003651	FBgn0003866	FBgn0003870	FBgn0003963	FBgn0003964	FBgn0004050	FBgn0004198	FBgn0004362	FBgn0004396	FBgn0004510	FBgn0004606	FBgn0004656	FBgn0004795	FBgn0004859	FBgn0004893	FBgn0004914	FBgn0005386	FBgn0005427	FBgn0005612	FBgn0005642	FBgn0005659	FBgn0005694	FBgn0010228	FBgn0010278	FBgn0010300	FBgn0010328	FBgn0010355	FBgn0010768	FBgn0010825	FBgn0011236	FBgn0011274	FBgn0011648	FBgn0011655	FBgn0011656	FBgn0011763	FBgn0013263	FBgn0013469	FBgn0013753	FBgn0013799	FBgn0014018	FBgn0014343	FBgn0014931	FBgn0015025	FBgn0015239	FBgn0015240	FBgn0015371	FBgn0015396	FBgn0015602	FBgn0015664	FBgn0015903	FBgn0016076	FBgn0016917	FBgn0017578	FBgn0019650	FBgn0020309	FBgn0020912	FBgn0021872	FBgn0022699	FBgn0022935	FBgn0023094	FBgn0023215	FBgn0024244	FBgn0024321	FBgn0024371	FBgn0025185	FBgn0025525	FBgn0025635	FBgn0025800	FBgn0025874	FBgn0026160	FBgn0026427	FBgn0026533	FBgn0026573	FBgn0026575	FBgn0026582	FBgn0026869	FBgn0027339	FBgn0027503	FBgn0027514	FBgn0027951	FBgn0028387	FBgn0028550	FBgn0028647	FBgn0028895	FBgn0028926	FBgn0028996	FBgn0029504	FBgn0029672	FBgn0029711	FBgn0029822	FBgn0029824	FBgn0029867	FBgn0029895	FBgn0029905	FBgn0029936	FBgn0029957	FBgn0030003	FBgn0030008	FBgn0030010	FBgn0030012	FBgn0030093	FBgn0030206	FBgn0030240	FBgn0030314	FBgn0030316	FBgn0030432	FBgn0030486	FBgn0030505	FBgn0030659	FBgn0030673	FBgn0030680	FBgn0030710	FBgn0030787	FBgn0030963	FBgn0030990	FBgn0031144	FBgn0031232	FBgn0031391	FBgn0031434	FBgn0031573	FBgn0031597	FBgn0031610	FBgn0031759	FBgn0032130	FBgn0032202	FBgn0032223	FBgn0032295	FBgn0032321	FBgn0032512	FBgn0032587	FBgn0032600	FBgn0032730	FBgn0032814	FBgn0032815	FBgn0032816	FBgn0032858	FBgn0032979	FBgn0033010	FBgn0033155	FBgn0033183	FBgn0033185	FBgn0033449	FBgn0033459	FBgn0033491	FBgn0033569	FBgn0033581	FBgn0033616	FBgn0033749	FBgn0033762	FBgn0033782	FBgn0033934	FBgn0033971	FBgn0033998	FBgn0034062	FBgn0034114	FBgn0034217	FBgn0034240	FBgn0034379	FBgn0034425	FBgn0034534	FBgn0034570	FBgn0034599	FBgn0034643	FBgn0034650	FBgn0034726	FBgn0034878	FBgn0034945	FBgn0034946	FBgn0034961	FBgn0035036	FBgn0035213	FBgn0035238	FBgn0035407	FBgn0035414	FBgn0035518	FBgn0035690	FBgn0035702	FBgn0035721	FBgn0035769	FBgn0035824	FBgn0035849	FBgn0035993	FBgn0035997	FBgn0036004	FBgn0036124	FBgn0036126	FBgn0036134	FBgn0036152	FBgn0036248	FBgn0036249	FBgn0036294	FBgn0036395	FBgn0036396	FBgn0036522	FBgn0036661	FBgn0037031	FBgn0037051	FBgn0037120	FBgn0037207	FBgn0037317	FBgn0037379	FBgn0037445	FBgn0037446	FBgn0037555	FBgn0037617	FBgn0037619	FBgn0037620	FBgn0037621	FBgn0037634	FBgn0037717	FBgn0037722	FBgn0037794	FBgn0037876	FBgn0037877	FBgn0037918	FBgn0037920	FBgn0037921	FBgn0037922	FBgn0037923	FBgn0037931	FBgn0038016	FBgn0038128	FBgn0038244	FBgn0038301	FBgn0038316	FBgn0038418	FBgn0038472	FBgn0038549	FBgn0038551	FBgn0038741	FBgn0038767	FBgn0038768	FBgn0038787	FBgn0038805	FBgn0039044	FBgn0039169	FBgn0039209	FBgn0039227	FBgn0039329	FBgn0039350	FBgn0039355	FBgn0039509	FBgn0039602	FBgn0039712	FBgn0039733	FBgn0039740	FBgn0039860	FBgn0040305	FBgn0040366	FBgn0040372	FBgn0040465	FBgn0040466	FBgn0040918	FBgn0040929	FBgn0041092	FBgn0041111	FBgn0042085	FBgn0042205	FBgn0042696	FBgn0043001	FBgn0043364	FBgn0043457	FBgn0043796	FBgn0050020	FBgn0050443	FBgn0051224	FBgn0051365	FBgn0051388	FBgn0051441	FBgn0052264	FBgn0052296	FBgn0052767	FBgn0052772	FBgn0053213	FBgn0085405	FBgn0085424	FBgn0085432	FBgn0085450	FBgn0085451	FBgn0086655	FBgn0086680	FBgn0250732	FBgn0259176	FBgn0259211	FBgn0259234	FBgn0259785	FBgn0259789	FBgn0259938	FBgn0260243	FBgn0260632	FBgn0260741	FBgn0260789	FBgn0261239	FBgn0261885	FBgn0261963	FBgn0262160	FBgn0262582	FBgn0262636	FBgn0262937	FBgn0262975	FBgn0263102	FBgn0263108	FBgn0263112	FBgn0263240	FBgn0263490	FBgn0263667	FBgn0264075	FBgn0265276	FBgn0265523	FBgn0265574	FBgn0265784	FBgn0266411	FBgn0266916	FBgn0267033	FBgn0267792	FBgn0267821	FBgn0267978	FBgn0270924	FBgn0278608	FBgn0283521	FBgn0284249	FBgn0285879	Time	Experiment
0	0	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0.5	0
1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1.0	0
1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1.5	0
1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	2.0	0
1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	2.5	0
0	0	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	1	0	0	3.0	0
0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3.5	0
0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	4.0	0
0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	4.5	0
0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	0	5.0	0
0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	0	5.5	0
0	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1	0	6.0	0
