"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP

0	0,4000132	0,6515465	0,5796497	1,0480861	0,5080704	0,1654157	0,3372386	0,4314835	0,0065202	0,8968690	0,1676354	1,0203437	0,8801678	0,6643341	0,0184241	0,3004976
20	0,3915257	0,7184648	0,4957076	0,5531852	0,3706162	0,1366344	0,3445359	0,4228136	0,0168348	0,9415592	0,1062043	1,0046243	0,8168608	0,5974211	0,0161334	0,2920185
40	0,3795026	0,6698582	0,3780445	0,3311894	0,2897335	0,0769906	0,3622105	0,3995901	0,0194043	0,9467394	0,0765819	1,0137795	0,8024887	0,5680275	0,0172613	0,2822962
60	0,3667283	0,6734817	0,3051339	0,2337637	0,2399862	0,0479871	0,3745644	0,3925233	0,0143050	1,0203006	0,0684772	1,0214464	0,8096487	0,6489897	0,0110532	0,2826129
80	0,3762761	0,6345702	0,2977118	0,1564590	0,2106502	0,0458820	0,3916808	0,4385676	0,0173755	0,9960539	0,0525702	1,0535027	0,8827254	0,6561069	0,0044048	0,3085740
100	0,3834566	0,6636661	0,3029228	0,1434082	0,1682682	0,0492787	0,3684703	0,4273093	0,0146382	0,9876944	0,0269224	1,0463025	0,8871300	0,6457420	0,0025858	0,3086908
120	0,3460021	0,6428142	0,3195473	0,1159101	0,1369208	0,0249936	0,3534824	0,3952444	0,0124003	0,9328932	0,0295419	1,0378316	0,8374573	0,6534804	0,0028478	0,2783643
140	0,3345900	0,7504539	0,3049511	0,0923991	0,1619471	0,0342516	0,3899409	0,4199967	0,0242199	0,9279753	0,0230672	1,0451043	0,8580949	0,6636715	0,0012199	0,2620272
160	0,3576132	0,7292548	0,2892710	0,0858538	0,1440404	0,0620517	0,3898421	0,3805248	0,0181323	0,9049077	0,0191646	1,0737000	0,8568275	0,6152688	0,0000373	0,2317905
180	0,3836640	0,6935336	0,2994538	0,1019359	0,1458212	0,0845151	0,3492376	0,3942549	0,0218627	0,9004341	0,0145077	0,9954830	0,8431428	0,6054817	0,0000394	0,2686367
200	0,4158281	0,6661507	0,2424483	0,0783456	0,1477041	0,0681599	0,3765448	0,3930446	0,0183150	0,8754608	0,0156352	0,9943682	0,8452747	0,5986436	0,0001577	0,2811308
220	0,4033949	0,6481983	0,2544893	0,0829053	0,1562629	0,0612287	0,3431578	0,3756243	0,0178637	0,8730967	0,0110677	0,9891636	0,8303726	0,6340149	0,0004301	0,2868342
240	0,4169793	0,6103223	0,2746828	0,0995639	0,1409825	0,0599861	0,3487008	0,4062443	0,0250196	0,9549345	0,0126182	1,0774144	0,8402996	0,6312343	0,0008538	0,2978819
260	0,4322893	0,6239820	0,2448237	0,1138278	0,1176424	0,0909357	0,3305500	0,3958910	0,0199001	0,9244671	0,0168376	1,0310397	0,8800619	0,6048780	0,0000316	0,3049828
280	0,4131258	0,6065667	0,2279772	0,1036081	0,1091490	0,0837009	0,3068798	0,4413598	0,0176072	0,9648533	0,0122116	1,0670201	0,8424647	0,6305553	0,0000079	0,3104261
300	0,3957712	0,6536132	0,2381315	0,1099610	0,1298188	0,0873572	0,3497682	0,4541579	0,0182252	0,9395853	0,0112456	1,0975197	0,8713084	0,6541405	0,0002631	0,2944537
320	0,4109175	0,6414522	0,2893787	0,0911126	0,1291452	0,1076728	0,3531779	0,4154251	0,0288663	0,9121901	0,0160214	1,0418567	0,8860495	0,6532783	0,0000542	0,2660886
340	0,3995336	0,5976540	0,2851629	0,0999506	0,1204407	0,0958803	0,3350439	0,4469763	0,0261885	0,8629306	0,0170785	0,9924313	0,8551735	0,6174425	0,0001698	0,2763720
360	0,3913834	0,6545097	0,2550520	0,0905580	0,1293070	0,0785634	0,3412226	0,4579287	0,0243573	0,8380676	0,0139022	1,0124846	0,8034420	0,6441900	0,0000638	0,2919901
380	0,3851475	0,7221532	0,2766509	0,1122376	0,1170026	0,0739908	0,3377966	0,4153297	0,0226617	0,8292057	0,0135597	1,0707738	0,8112757	0,6234759	0,0000374	0,3082743
400	0,3725338	0,6979962	0,2926449	0,1357298	0,1129285	0,0825186	0,3349378	0,3695607	0,0110119	0,8112770	0,0136545	1,0797708	0,8666184	0,6522271	0,0003458	0,2843137
420	0,3595652	0,6934602	0,2364557	0,0914980	0,1367833	0,0983888	0,3125473	0,4101700	0,0111122	0,8214854	0,0150661	1,1213439	0,8591364	0,6391606	0,0000550	0,2997378
440	0,3759531	0,6981981	0,2273785	0,1224879	0,1338669	0,0973963	0,3197491	0,4091745	0,0071531	0,8686157	0,0125506	1,0747733	0,8070998	0,6086634	0,0010530	0,2621666
460	0,3485770	0,6838650	0,2319438	0,1126542	0,1215023	0,0601555	0,3256653	0,3870532	0,0071446	0,9255608	0,0172056	1,0331956	0,8589520	0,5540044	0,0015745	0,2514122
480	0,3642355	0,6507079	0,2349673	0,1099348	0,1232648	0,0828212	0,2999289	0,4038010	0,0047401	0,9231690	0,0112542	1,0571551	0,8839047	0,5646372	0,0013861	0,2546081
500	0,3526554	0,6580329	0,2653269	0,1004149	0,1238550	0,0900357	0,3138703	0,4054916	0,0082256	0,9238070	0,0155718	1,0052042	0,8450443	0,5972996	0,0033591	0,2666461
520	0,3490610	0,7004567	0,3211237	0,1226319	0,1023610	0,0744580	0,3102200	0,3852596	0,0079122	0,8401880	0,0192780	0,9873591	0,9051696	0,6027341	0,0078309	0,2968571
540	0,3295098	0,6840858	0,3137791	0,1268688	0,0878211	0,0843013	0,3137564	0,4233471	0,0039187	0,8634186	0,0187625	0,9760841	0,9544623	0,6578014	0,0042926	0,2812099
560	0,3534851	0,7342418	0,2964604	0,1187095	0,0903603	0,0971211	0,3240198	0,3826444	0,0117007	0,8750959	0,0221798	0,9314819	0,8844970	0,6834841	0,0033313	0,2773801
580	0,3348097	0,7124657	0,5261542	0,5180752	0,3618176	0,4700184	0,3284273	0,3868822	0,0116575	0,9515581	0,0801106	0,9477624	0,8986300	0,6369418	0,0158205	0,2773184
600	0,3064071	0,7251969	0,6876438	0,7274841	0,5752736	0,6018805	0,3109369	0,4006280	0,0248392	0,9431930	0,0802731	0,9703132	0,9086778	0,6739389	0,0113984	0,2617652
620	0,3037836	0,7531137	0,7900763	0,8703443	0,6738427	0,4862217	0,3275483	0,3996719	0,0147843	0,9825738	0,1159068	0,9868505	0,8487461	0,6342696	0,0080407	0,2618136
640	0,3389412	0,7340387	0,7582069	0,8372943	0,5749635	0,3558675	0,3452519	0,4154428	0,0268372	0,9298077	0,1286742	0,9487199	0,8325785	0,6232160	0,0135212	0,2511747
660	0,3806880	0,6800558	0,7525455	0,7932721	0,4959645	0,3021030	0,3323421	0,3711831	0,0235934	0,8962106	0,1485422	0,9674168	0,8906869	0,6218839	0,0048806	0,2416653
680	0,3502562	0,6640923	0,6913949	0,8155987	0,4566609	0,2191373	0,3304278	0,3809121	0,0137548	0,9516186	0,1401167	0,9409017	0,9211554	0,6349349	0,0088206	0,2781263
700	0,3280235	0,6593849	0,6543898	0,8305125	0,4231873	0,2121317	0,3101501	0,4152769	0,0169833	0,9859040	0,1333628	0,9942698	0,8552302	0,6765981	0,0093819	0,3085514
720	0,3600733	0,6498745	0,6215283	0,8695932	0,4521854	0,2203903	0,3134654	0,3899891	0,0106289	0,9914790	0,1717204	0,9944508	0,8478376	0,6661375	0,0132215	0,2962412
740	0,3455042	0,6213579	0,6046965	0,8917313	0,4501826	0,1962162	0,2946258	0,4010683	0,0119914	0,8760360	0,1568737	0,9750134	0,8618925	0,6160216	0,0166871	0,2906280
760	0,3511675	0,6424384	0,6347908	0,9392234	0,5137079	0,2321256	0,3013669	0,4221699	0,0195738	0,8341527	0,1557904	0,9663643	0,8328475	0,6183108	0,0028241	0,3130009
780	0,3803621	0,6833818	0,6183784	0,9196931	0,5240615	0,2579336	0,2737014	0,3977692	0,0187743	0,8460286	0,1401794	0,9874101	0,8406710	0,5794372	0,0091150	0,2771638
800	0,4055987	0,6473996	0,7220041	0,9057422	0,5144336	0,2099765	0,2879725	0,3738652	0,0147021	0,8491447	0,1422720	0,9502251	0,8433381	0,5685882	0,0110526	0,3095960
820	0,3697685	0,6621747	0,6529939	0,8782162	0,4690235	0,2558813	0,3172306	0,4098146	0,0133370	0,9137152	0,1413709	0,9623393	0,9023927	0,5794062	0,0118919	0,3155631
840	0,3767023	0,6499985	0,6821832	0,8638049	0,4435886	0,2098044	0,2876505	0,4064376	0,0149781	0,9346852	0,1567087	0,9411106	0,9032834	0,6010252	0,0131326	0,3397684
860	0,3873138	0,6540352	0,5855656	0,9322464	0,4449999	0,2002259	0,3361941	0,4236189	0,0062829	0,9412128	0,1626462	0,9443785	0,8939935	0,6257983	0,0088484	0,3316923
880	0,3917295	0,6451394	0,5366577	0,9130826	0,5006749	0,1937844	0,3478897	0,4331853	0,0018054	0,8381308	0,1471533	0,9301896	0,8341645	0,6099580	0,0076273	0,3034600
900	0,3970829	0,6189873	0,5821340	0,9662991	0,5284809	0,1807069	0,3765302	0,4030541	0,0099297	0,8521813	0,1412050	0,9147383	0,8593465	0,6218248	0,0057058	0,2856897
920	0,4154479	0,6854918	0,6754712	0,9926469	0,5668412	0,1858147	0,3422713	0,4071258	0,0195084	0,8414889	0,1745908	0,9449885	0,9432350	0,6302497	0,0102636	0,3234672
940	0,4232110	0,6558193	0,5953592	0,9871404	0,5534965	0,1810068	0,3377176	0,4273559	0,0129127	0,8617985	0,1870822	0,9768725	0,9471652	0,6335003	0,0098678	0,2910395
960	0,4368351	0,6802224	0,5909292	0,9632608	0,4821664	0,2042826	0,3549900	0,4192264	0,0042547	0,8291659	0,1555822	0,9628842	0,8848437	0,6091496	0,0116293	0,2718734
980	0,4093384	0,6063713	0,6516968	0,9809468	0,4439884	0,2276652	0,3440704	0,4166127	0,0039900	0,8348627	0,1575431	0,9262768	0,9545910	0,5915167	0,0089388	0,2933298
1000	0,3769859	0,6057754	0,5742453	0,9408273	0,4778408	0,2419282	0,3464484	0,4083286	0,0094000	0,8245485	0,1438094	0,9014820	0,9447728	0,6496549	0,0083508	0,3162606
1020	0,3684967	0,6419865	0,6200445	1,0503591	0,5618593	0,2746732	0,3672553	0,3923841	0,0175995	0,7985726	0,1351112	0,9365981	0,9281860	0,6692026	0,0085761	0,2991595
1040	0,3805823	0,6892885	0,5731861	1,0183425	0,5355222	0,2619432	0,3335786	0,3587603	0,0144928	0,7963237	0,1392228	0,9889093	0,8995342	0,6467207	0,0055739	0,3438116
1060	0,3936258	0,6459831	0,5708700	1,0118396	0,5145909	0,2662197	0,3469907	0,3751439	0,0156623	0,7942632	0,1292253	0,8918223	0,8947228	0,6023617	0,0022720	0,3147695
1080	0,4095528	0,6199485	0,5896063	0,9324236	0,5418452	0,1995723	0,3469318	0,3765259	0,0190858	0,8339986	0,1236079	0,8961499	0,8429331	0,6099932	0,0095995	0,3041822
1100	0,3646752	0,5940578	0,6026976	0,9510957	0,5215506	0,2085655	0,3284908	0,4166521	0,0350847	0,8181963	0,1295014	0,9048135	0,8391302	0,6509957	0,0053271	0,2567534

0	0,4000132	0,6515465	0,5796497	1,0480861	0,5080704	0,1654157	0,3372386	0,4314835	0,0065202	0,8968690	0,1676354	1,0203437	0,8801678	0,6643341	0,0184241	0,3004976
20	0,3337188	0,6147224	0,6041608	0,9653994	0,3148657	0,2012933	0,3538321	0,3710659	0,0056614	0,8800767	0,0961498	1,0393222	0,9907043	0,6147252	0,0085466	0,2903016
40	0,2652056	0,6361802	0,6259965	0,9373770	0,2254248	0,2075167	0,3263860	0,3682084	0,0044783	0,9018383	0,0772306	0,9701685	0,9394481	0,5957708	0,0036220	0,2919536
60	0,2103489	0,6414180	0,6203525	0,9720965	0,1523000	0,2806550	0,3329243	0,3745339	0,0046297	0,8421287	0,0657435	1,0032384	0,8920046	0,6421439	0,0018806	0,2949318
80	0,1905775	0,7179646	0,6755616	0,9442237	0,0958285	0,3961028	0,3621557	0,3658055	0,0031406	0,9213568	0,0558501	0,9694085	0,9274084	0,6920263	0,0006187	0,3252718
100	0,1997583	0,7205404	0,6870444	1,0033620	0,0675248	0,4626409	0,3152279	0,3873679	0,0017437	0,8966810	0,0519178	0,9549190	0,8837090	0,6865106	0,0000000	0,3213585
120	0,1637512	0,7782184	0,6261917	0,9679542	0,0532309	0,6102585	0,3062648	0,3324878	0,0001880	0,8212946	0,0438261	0,9466260	0,8885249	0,6359694	0,0003800	0,3361188
140	0,1539534	0,8091275	0,5998719	0,9729771	0,0314725	0,7395556	0,3142086	0,3120964	0,0004623	0,8490881	0,0490244	0,9095114	0,8792165	0,6997032	0,0001902	0,3311865
160	0,1252290	0,8328611	0,6197361	1,0173858	0,0420664	0,7605463	0,3222289	0,3292697	0,0005408	0,8750972	0,0527849	0,9080548	0,9525059	0,6768732	0,0000612	0,3289048
180	0,1246449	0,8162225	0,6168866	0,9520141	0,0315723	0,8357619	0,3498333	0,3243308	0,0031264	0,8502551	0,0615208	0,9801073	0,9104347	0,7507073	0,0002247	0,3604884
200	0,1153170	0,8090256	0,6066379	1,0159509	0,0287476	0,9716302	0,4086476	0,3566627	0,0071130	0,9137424	0,0671860	0,9497124	0,9528402	0,7459471	0,0007857	0,3507020
220	0,0989342	0,8243642	0,6234203	0,9688656	0,0418257	0,8752592	0,3838941	0,3790992	0,0069922	0,9414768	0,0575486	0,9596069	0,9985817	0,7686444	0,0022151	0,3936324
240	0,0799944	0,8132325	0,5892715	0,9637538	0,0373704	0,9383477	0,4029042	0,3612691	0,0062368	0,9436509	0,0599785	1,0651968	0,9527109	0,7459076	0,0011313	0,3856642
260	0,0858453	0,8085063	0,5606017	0,9445265	0,0479204	0,9041895	0,4009296	0,3587269	0,0059999	0,9591421	0,0605894	1,0477046	0,9283817	0,7394275	0,0000000	0,3527540
280	0,0876703	0,8483873	0,5735164	0,9558531	0,0493684	1,0484070	0,3830987	0,3591203	0,0038430	0,9689884	0,0684469	1,0057209	0,9528661	0,7088362	0,0020376	0,3346704
300	0,1059890	0,8984448	0,5471458	1,0125472	0,0401011	1,0445984	0,3506681	0,3385824	0,0036732	0,9708992	0,0500424	0,9860332	0,9824863	0,7337436	0,0025285	0,3576526
320	0,1014024	0,9109901	0,6077194	0,9684082	0,0338620	0,9914722	0,3468122	0,3299941	0,0020783	0,9749502	0,0602546	0,9480974	0,9175475	0,7393922	0,0046842	0,3790494
340	0,0957716	0,9100856	0,6426094	0,9174327	0,0335947	0,9650583	0,3459978	0,3513176	0,0018937	0,9424644	0,0656542	0,9071238	0,9053073	0,7151756	0,0044207	0,3458636
360	0,1054450	0,8717599	0,6438749	0,9248940	0,0328501	0,8846613	0,3298288	0,3249901	0,0037072	0,8938053	0,0557079	0,9246472	0,8602628	0,7373508	0,0036532	0,3383483
380	0,1030748	0,8517986	0,6543664	0,8928602	0,0269824	0,9467007	0,3291209	0,3277202	0,0034150	0,9560265	0,0516652	0,9214542	0,9195997	0,7240011	0,0037528	0,3374165
400	0,1055734	0,8623906	0,6291675	0,9368711	0,0352946	1,0053719	0,3088863	0,3041219	0,0007610	0,9436851	0,0617617	0,9170342	0,9616575	0,7252535	0,0010677	0,3221643
420	0,0975868	0,8862460	0,6781871	0,9123318	0,0373075	0,9843742	0,3296648	0,3129883	0,0015245	0,8875906	0,0438208	0,8732714	0,9236712	0,7506103	0,0005457	0,3618129
440	0,0903722	0,8274361	0,6490843	0,8348112	0,0273261	1,0011059	0,3349711	0,3532955	0,0034418	0,9730101	0,0582454	0,8859152	0,9378722	0,7820826	0,0020515	0,3790259
460	0,0839827	0,8443579	0,6802791	0,9320973	0,0209204	0,9948556	0,3726878	0,3478225	0,0034771	1,0024117	0,0453021	0,9182354	0,9896450	0,7819098	0,0007349	0,3967873
480	0,0865751	0,8514218	0,7149859	0,9355308	0,0159651	0,9556063	0,3849937	0,3115197	0,0034778	1,0166765	0,0325622	0,9994576	0,9772750	0,8173516	0,0002234	0,3723739
500	0,1154276	0,8503236	0,6586507	0,9707264	0,0211865	0,9815667	0,4014078	0,2823276	0,0022598	0,9674221	0,0304598	0,9460038	0,9303706	0,7470644	0,0010995	0,3409208
520	0,1169494	0,8322660	0,6606122	0,9491070	0,0208810	1,0136990	0,3991251	0,3039213	0,0057370	0,9152888	0,0202008	0,9506297	0,9499726	0,7382300	0,0007756	0,3404825
540	0,1091123	0,8381801	0,6354574	0,9724891	0,0149916	1,0270742	0,4009177	0,3401689	0,0043379	0,9640771	0,0258186	0,9566085	0,9245779	0,7424047	0,0002279	0,3547655
560	0,1125837	0,7966294	0,6318810	0,9724224	0,0229241	1,0795746	0,3883081	0,3626710	0,0031964	0,9513299	0,0369722	0,9682386	0,9709693	0,7977197	0,0008252	0,3316662
580	0,1401454	0,8362668	0,6641797	0,9518607	0,3528726	1,0463395	0,3678209	0,4142662	0,0170442	0,9911112	0,0558135	0,9291709	0,9498047	0,7745147	0,0083376	0,3207978
600	0,2126798	0,8443127	0,6133623	0,9864406	0,6079889	0,9853256	0,3807466	0,4215311	0,0101989	0,9588215	0,0838742	0,9751959	0,9221501	0,7572495	0,0062282	0,3360489
620	0,2430259	0,8567066	0,6783609	0,9502613	0,6556903	0,7082831	0,3437223	0,3953056	0,0140401	0,9457565	0,0962757	1,0310390	0,8632031	0,7244791	0,0091371	0,2857977
640	0,2943506	0,8721048	0,6203204	0,9721759	0,6665854	0,5345107	0,3412141	0,4470762	0,0149454	0,9139564	0,0834708	1,0087137	0,8497648	0,6620479	0,0030757	0,2498329
660	0,3209520	0,8813283	0,6217424	0,9329350	0,5555245	0,3821442	0,3520472	0,4397475	0,0097250	0,9167823	0,1037716	1,0225720	0,8350856	0,6269323	0,0077424	0,2616532
680	0,3085281	0,7786448	0,6026612	0,9952325	0,4707535	0,2659722	0,2986668	0,4049010	0,0195597	0,9301702	0,1143710	1,0578713	0,8146251	0,5881366	0,0230100	0,2439268
700	0,3093906	0,7878282	0,6564313	0,9616522	0,4159387	0,2226683	0,3286491	0,3564884	0,0216635	0,9269039	0,1043827	1,0637048	0,8160668	0,5692920	0,0201180	0,2713811
720	0,3200080	0,7307021	0,6664674	0,9492602	0,4211834	0,1792366	0,3313447	0,3493161	0,0161078	0,9051624	0,0934068	0,9951883	0,8051438	0,5568713	0,0107938	0,2544761
740	0,3080382	0,7242719	0,6751141	0,9740447	0,5420585	0,2053127	0,3419818	0,4184740	0,0229251	0,9639981	0,1210068	0,9692989	0,8133715	0,6082585	0,0113164	0,2831933
760	0,3147732	0,7145827	0,7001835	0,9633555	0,5568769	0,2074359	0,3787237	0,4107717	0,0103029	0,9364884	0,1129966	0,9413394	0,8232876	0,6154685	0,0082341	0,2849061
780	0,3315182	0,6707132	0,6700833	1,0290980	0,5035843	0,2108823	0,3886256	0,4358075	0,0155650	0,9193005	0,1304125	0,9701560	0,8356077	0,6329104	0,0156622	0,2977391
800	0,3672482	0,6670783	0,6671277	0,9445617	0,4653549	0,1865963	0,3752438	0,4819477	0,0165597	0,8281985	0,1355822	1,0292686	0,9001821	0,6375213	0,0219114	0,2805364
820	0,3740972	0,6276593	0,6196585	0,9646233	0,5002305	0,1901825	0,3455071	0,4473145	0,0251389	0,8378750	0,1389709	1,0596788	0,9384768	0,6269446	0,0086695	0,2807771
840	0,3932476	0,6879994	0,6173892	1,0116485	0,4648299	0,2435553	0,3090284	0,4499721	0,0207045	0,8840060	0,1454303	1,0171667	0,9542589	0,6380714	0,0084625	0,2679497
860	0,3917387	0,6962386	0,6581900	1,0004452	0,5262658	0,2797759	0,3058936	0,4297005	0,0212130	0,8705775	0,1637608	0,9684001	0,9226964	0,6292425	0,0104196	0,2636242
880	0,3953606	0,6872546	0,6565290	1,0474991	0,5635063	0,2262248	0,3118462	0,3669498	0,0168205	0,8707980	0,1385869	0,9533859	0,9285173	0,6095534	0,0067210	0,2487480
900	0,3826931	0,6925229	0,6207849	0,9467581	0,5469345	0,2350772	0,3384591	0,3896801	0,0201204	0,8874395	0,1209866	0,9427180	0,9227637	0,6881029	0,0035902	0,2686120
920	0,3499316	0,6140152	0,5897436	0,9870365	0,5240070	0,1996019	0,3282717	0,3460278	0,0190989	0,8851741	0,1311616	0,9817519	0,9086182	0,6755142	0,0044534	0,2978458
940	0,3152016	0,6559547	0,6528255	0,9869931	0,5052820	0,2209207	0,3601776	0,4072321	0,0237550	0,8833506	0,1457866	0,9902524	0,9947784	0,7605707	0,0194514	0,2757155
960	0,3615780	0,6798305	0,6915457	1,0404499	0,4925772	0,1973367	0,3802285	0,4272303	0,0137737	0,9147030	0,1468432	0,9718121	0,9950470	0,7627086	0,0142922	0,3006242
980	0,3801973	0,6569941	0,7067302	1,0257749	0,4513934	0,1798159	0,3874301	0,4613516	0,0163655	0,9385814	0,1477511	0,9453130	0,9688185	0,7606314	0,0051981	0,3107780
1000	0,3542890	0,6472526	0,6431924	0,9792148	0,4182623	0,1671071	0,3836416	0,4508208	0,0157212	0,9041528	0,1518904	0,9992051	0,8987535	0,7111602	0,0021348	0,3282852
1020	0,3688826	0,6359271	0,6619435	0,9500562	0,4315278	0,1836571	0,3524915	0,3934637	0,0145308	0,9190036	0,1551569	0,9960337	0,8985848	0,6651546	0,0000000	0,2881882
1040	0,3776042	0,6277457	0,6226436	0,9684664	0,4949679	0,1941147	0,3248591	0,3634444	0,0207271	0,9377068	0,1424336	0,9134200	0,8953150	0,6691582	0,0070360	0,2921075
1060	0,3961969	0,6968152	0,6131933	0,9460013	0,5161073	0,2074921	0,3814931	0,3915246	0,0186212	0,9251771	0,1398113	0,8812112	0,8653632	0,6772830	0,0101190	0,2916878
1080	0,3856040	0,7859218	0,6120341	0,9657772	0,5365369	0,2064910	0,3626373	0,3780064	0,0147417	0,9064931	0,1226855	0,8940276	0,8823576	0,7273814	0,0137950	0,2698092
