dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI	Time	Experiment
1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0
1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	20	0
1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	40	0
1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	60	0
1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	0	0	80	0
1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	100	0
1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	120	0
1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	140	0
1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	160	0
1	0	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	180	0
1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	200	0
1	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	220	0
1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	240	0
1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	0	260	0
1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	280	0
1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	300	0
1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	320	0
1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	340	0
1	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	0	360	0
1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	380	0
1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	400	0
1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	420	0
1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	440	0
1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	460	0
1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	480	0
1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	500	0
1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	520	0
1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	540	0
1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	560	0
1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	580	0
1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	600	0
1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	620	0
1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	640	0
1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	660	0
1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	680	0
1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	700	0
1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	720	0
1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	740	0
1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	760	0
1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	780	0
1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	0	800	0
1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	1	1	1	820	0
1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	840	0
1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	860	0
1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	880	0
1	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	900	0
1	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	920	0
1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	1	0	940	0
1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	1	960	0
1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1	0	0	980	0
1	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	1000	0
1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1020	0
1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1040	0
1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1060	0
1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1080	0
1	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1100	0
1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1
1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	20	1
0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	40	1
0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	60	1
0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	80	1
0	1	0	1	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	100	1
0	1	0	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	120	1
0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	140	1
0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	160	1
0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	180	1
0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	200	1
0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	220	1
0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	240	1
0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	260	1
0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	280	1
0	1	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	300	1
0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	320	1
0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	340	1
0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	360	1
0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	380	1
0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	400	1
0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	420	1
0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	440	1
0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	460	1
0	1	1	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	480	1
0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	500	1
0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	520	1
0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	540	1
0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	560	1
0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	580	1
0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	600	1
1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	620	1
1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	640	1
1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	660	1
1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	680	1
